ID,馬名,性別,年齢,父,馬体重,オークション日,落札価格,落札時賞金,現在賞金,ROI,リンク,病歴,繁殖
2517,ラシッド,牡,3,マクマホン,479,2026-02-01,1230000,980000,0,-79.7,https://auction.keiba.rakuten.co.jp/item/15608,,
547,アデニウム,牝,3,アルアイン,416,2025-08-14,1220000,1280000,0,-104.9,https://auction.keiba.rakuten.co.jp/item/14685,,
561,スマートレイヴ,牝,4,バゴ,427,2025-08-14,1220000,5445000,0,-446.3,https://auction.keiba.rakuten.co.jp/item/14699,,
2300,コスモヴェントゥス,牡,2,ウインブライト,436,2024-12-12,1220000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13470,,
1972,エナジーチャイム,牝,4,エピファネイア,442,2024-10-10,1220000,7000000,0,-573.8,https://auction.keiba.rakuten.co.jp/item/13138,ゆう癖 / 骨折,
1690,ハイレリーフ,牝,7,マツリダゴッホ,477,2025-03-16,1220000,12460000,0,-1021.3,https://auction.keiba.rakuten.co.jp/item/13850,,
937,マサムネ,牡,3,サングレーザー,492,2025-05-08,1220000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14085,,
677,タッチザシーリング,牝,3,アルアイン,426,2025-08-28,1220000,720000,0,-59.0,https://auction.keiba.rakuten.co.jp/item/14822,,
1435,アウストラリス,牝,4,ロジャーバローズ,422,2025-01-09,1210000,4060000,0,-335.5,https://auction.keiba.rakuten.co.jp/item/13590,,
540,ポンペルモ,牡,3,モーリス,430,2025-08-14,1210000,102000,0,-8.4,https://auction.keiba.rakuten.co.jp/item/14678,,
186,リケアディンブラ,牝,3,ファインニードル,473,2025-10-09,1210000,1185000,1185000,0.0,https://auction.keiba.rakuten.co.jp/item/15125,骨折,
1698,ホリゾンブルー,牝,3,ゴールドシップ,392,2025-03-20,1210000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13858,,
1699,リヴァスピナー,牡,3,サトノダイヤモンド,450,2025-03-20,1210000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13859,,
890,プレカーサー,牡,4,ロゴタイプ,534,2025-04-24,1210000,105000,0,-8.7,https://auction.keiba.rakuten.co.jp/item/14038,,
315,ルミエールドゥース,牝,4,ハーツクライ,476,2025-09-28,1210000,5750000,0,-475.2,https://auction.keiba.rakuten.co.jp/item/15058,ゆう癖 / 跛行,
1235,ブルーラジカル,牡,3,ロージズインメイ,480,2025-07-03,1210000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14388,,
2044,クリノキングボス,牡,7,キングカメハメハ,470,2024-10-24,1210000,15310000,0,-1265.3,https://auction.keiba.rakuten.co.jp/item/13211,,
343,キングズロア,牡,4,Kingman,508,2025-10-02,1210000,388000,0,-32.1,https://auction.keiba.rakuten.co.jp/item/15086,骨折,
1437,アクロスザシーズ,牝,4,ジャスタウェイ,428,2025-01-09,1210000,5060000,0,-418.2,https://auction.keiba.rakuten.co.jp/item/13592,フレグモーネ,
1206,ロジアンドモルタル,牡,3,ブリックスアンドモルタル,480,2025-06-26,1210000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14359,挫跖 / 跛行,
973,ウインクレドール,牡,3,モーリス,468,2025-05-15,1210000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14122,,
361,イズジョーノヒカリ,牝,4,ミッキーグローリー,503,2025-10-05,1210000,6664000,5875000,-65.2,https://auction.keiba.rakuten.co.jp/item/15104,骨折,
2526,ソヴァージュ,牝,3,タリスマニック,438,2026-02-05,1210000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15618,,
928,ケイツーペニー,牝,3,アメリカンペイトリオット,440,2025-05-08,1200000,0,1798000,149.8,https://auction.keiba.rakuten.co.jp/item/14076,,
15258,バジルフレイバー,牝,7,ホッコータルマエ,478,2025-11-02,1200000,14590000,14740000,12.5,https://auction.keiba.rakuten.co.jp/item/15258,鼻出血,
2371,パーフェクトチャンス,牝,20,Unbridled's Song,400,2025-12-25,1200000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15459,骨折,○
2407,リヴァイデント,牝,4,ブリックスアンドモルタル,418,2025-12-25,1200000,1400000,0,-116.7,https://auction.keiba.rakuten.co.jp/item/15504,,
721,フランシュフック,牡,3,ヘニーヒューズ,570,2025-09-04,1200000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14867,,
1222,ロジピエルフ,牡,3,ロジユニヴァース,480,2025-06-29,1200000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14375,,
471,ウインアレース,牡,3,ウインブライト,472,2025-08-07,1200000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14607,,
2494,ホワイトソックス,牝,13,Scipion,400,,1200000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/15247,,○
424,ジューンアレグロ,牡,3,ミッキーアイル,426,2025-07-27,1200000,560000,0,-46.7,https://auction.keiba.rakuten.co.jp/item/14560,,
2081,ナバロン,牡,5,ブラックタイド,514,2024-10-31,1200000,28520000,0,-2376.7,https://auction.keiba.rakuten.co.jp/item/13248,,
101,マルクパージュ,牝,5,ハービンジャー,424,2025-11-20,1200000,15980000,0,-1331.7,https://auction.keiba.rakuten.co.jp/item/15343,,
1439,ミトノシャルマン,牡,5,キンシャサノキセキ,457,2025-01-09,1200000,12520000,0,-1043.3,https://auction.keiba.rakuten.co.jp/item/13594,骨折,
921,ジューンシャトル,牡,5,メイショウボーラー,454,2025-04-27,1200000,7405000,0,-617.1,https://auction.keiba.rakuten.co.jp/item/14069,,
